dataset,condition,split,num_rows,num_image_clusters,risk,risk_label,method,method_label,aurc,oracle_aurc,random_aurc,excess_aurc,normalized_aurc,numerical_reference,absolute_error_mean,absolute_error_median,absolute_error_p95,absolute_error_max,spearman_rho,kendall_tau_b,exact_match_fraction
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_mean_max_probability,Mean max probability,0.133590886077,0.071434133644,0.104293161174,0.0621567524332,1.89161874547,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_negative_entropy,Negative entropy,0.127705230485,0.071434133644,0.104293161174,0.0562710968411,1.71250037117,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_exact,Dice-Exact,0.105304386881,0.071434133644,0.104293161174,0.0338702532375,1.03077466936,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_qfr_entropy,QFR-Entropy,0.106836660863,0.071434133644,0.104293161174,0.0354025272195,1.07740642012,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_plm10_entropy,PLM-10/PLA-10-Entropy,0.125081696103,0.071434133644,0.104293161174,0.0536475624589,1.63265825229,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_mmmc_entropy,MMMC-Entropy,0.102482228455,0.071434133644,0.104293161174,0.0310480948111,0.944887817601,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_foreground_entropy,Foreground entropy,0.107315847981,0.071434133644,0.104293161174,0.0358817143367,1.09198953938,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m2,Dice-M2,0.105495968165,0.071434133644,0.104293161174,0.0340618345206,1.03660506963,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m8,Dice-M8,0.105452743173,0.071434133644,0.104293161174,0.0340186095286,1.03528960185,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m32,Dice-M32,0.105300323316,0.071434133644,0.104293161174,0.0338661896724,1.03065100273,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m2,nHD-M2,0.0900464946455,0.071434133644,0.104293161174,0.0186123610015,0.566430670676,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m8,nHD-M8,0.0912370768712,0.071434133644,0.104293161174,0.0198029432273,0.602663703583,,,,,,,,
fives,deeplabv3-target,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m32,nHD-M32,0.0920183809976,0.071434133644,0.104293161174,0.0205842473537,0.626441160956,,,,,,,,
